eeg_se__C3,eeg_hm__C3,eeg_hm__Oz,eeg_hc__Cz,eeg_mf_hz__C3,eeg_bp_delta__C3,eeg_se_delta__C3,eeg_se_theta__Cz,eeg_se_alpha__C4,eeg_se_beta__Oz
4.434176679097704,0.2903559312598267,0.2663402652171274,1.8373228716051009,9.0,2.770230848124688,1.8630096053010696,2.1122430423700544,1.8054813630789752,3.890117602310936
4.593865495199308,0.4087551860560421,0.3222175489431263,1.752040705760036,15.0,1.0874087878451166,1.9531674104387644,2.1281924624652766,2.1538944753336504,3.7702012304316206
4.560605911915163,0.3485674898706273,0.3328223766306312,1.553409847855918,11.0,1.3093561221193672,1.969337297915573,2.025917264804484,2.08118532830624,4.05584673039513
4.705333071096136,0.3354169945145711,0.2587920853780415,2.093023154803762,10.0,1.953402859083198,1.841686058774382,2.2289930323556755,2.1477366671850886,3.993847481141176
4.31239373282914,0.3249082800255924,0.3433027113835601,1.42285514383329,11.0,2.016941733283988,1.9405614219804048,2.2042564432857787,2.1764670494132323,3.916441375277534
4.490563629549637,0.3548860586712083,0.258139577815966,1.7622330674946152,10.0,2.370129090392941,1.678901681142853,2.2875352848513013,2.2182993712478147,3.737804842473452
4.527214110931131,0.3233295742559642,0.2741548516929536,1.8090696171914324,8.0,2.136915844999528,1.9308327285993527,2.10708566317957,2.162291984314836,3.88805998597166
3.9772515638524975,0.3114766067626814,0.2200368557216174,2.2196387970358757,4.0,5.699058629205474,1.8144113598742344,2.01570650616179,2.1415493652912687,3.916582850484231
4.428337891510525,0.3222487510777524,0.2638172697333662,1.5946555006928669,12.0,2.602475023409743,1.776016222146019,2.182724145966944,1.9336337518778457,3.918976928658226
4.475228618579822,0.3229952983341088,0.2904450965616598,1.928506878885317,9.0,3.1167594494459285,1.972714913304635,2.170141618727073,2.16445448782385,3.848354155790672
4.529197100454775,0.364889892411841,0.3075288775407251,1.538178986626977,11.0,1.2172171688283695,1.8631656904650185,2.2593216070261875,2.153673963287823,3.711270659659785
4.549405082124157,0.3659669788795078,0.304858969339527,1.627116770605654,14.0,1.8503696091491864,1.7342492529723257,2.240849710784097,2.03369673155641,3.859358049846456
4.483765575631933,0.327367183499121,0.2335814451207202,1.6087217964266007,11.0,1.9355403240181857,1.7261953836590016,1.957355878185322,2.302276331363635,3.590966556685138
4.398428372990904,0.343394466668217,0.2819854034228731,1.86066229725464,11.0,0.6151062068981411,1.7615671489911535,2.1809732958258765,2.098906105934113,3.9131753298858727
4.655635153768191,0.3575679558795334,0.2624072303746477,2.123626456346752,12.0,1.1350617533952652,1.905839257269998,2.1552011190205915,2.263966590744344,3.787502889448503
4.478426305135779,0.3202598773391641,0.2649130798585064,1.641874481644535,12.0,3.6308380003077634,1.805082671255074,2.1979120168547945,2.2467399329338504,3.628140051962256
4.374175074541312,0.3428505687117942,0.2501346447441976,2.2807743239441067,7.0,3.0985530686934206,1.7441947481647282,2.109685344422486,2.214149927868033,4.047971692643898
4.683186679015446,0.3302730029440534,0.231368310050583,2.175556642546144,10.0,1.377971832983134,1.8176232721982355,2.200233459648654,1.9863350544288896,3.868651737448253
4.260074818933539,0.2954934906133428,0.2699928273283002,1.96184020331134,8.0,3.5646132388996103,1.6580064901085043,2.019372966606824,2.312099773420281,3.53094309219781
4.137641799614673,0.2909532181099133,0.2761339689961504,2.12773503892749,5.0,3.443688116053755,1.8087785870416235,1.9890492231725283,2.246058637131777,3.635906726338003
