mode,participant,target,modality,classifier,feature_count_request,feature_count_resolved,folds,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_median,balanced_accuracy_min,balanced_accuracy_max,accuracy_mean,precision_mean,recall_mean,f1_mean
individual,P25,valence,face,knn,10,10,5,0.43673326673326673,0.11667467560343052,0.46153846153846156,0.24475524475524477,0.534965034965035,0.4583333333333333,0.4971654659634199,0.6516483516483517,0.558551603712894
individual,P25,valence,face,knn,20,10,5,0.43673326673326673,0.11667467560343052,0.46153846153846156,0.24475524475524477,0.534965034965035,0.4583333333333333,0.4971654659634199,0.6516483516483517,0.558551603712894
individual,P25,valence,face,knn,5,5,5,0.46923076923076923,0.06977254986284048,0.4755244755244755,0.39860139860139865,0.5664335664335665,0.4833333333333333,0.5270278637770898,0.6384615384615385,0.5726923076923077
individual,P25,valence,face,knn,all,all,5,0.43673326673326673,0.11667467560343052,0.46153846153846156,0.24475524475524477,0.534965034965035,0.4583333333333333,0.4971654659634199,0.6516483516483517,0.558551603712894
individual,P25,valence,face,svm,10,10,5,0.5133466533466533,0.02271652269061645,0.5,0.5,0.5524475524475525,0.5583333333333333,0.5574675324675324,0.9703296703296704,0.7072425366543014
individual,P25,valence,face,svm,20,10,5,0.5133466533466533,0.02271652269061645,0.5,0.5,0.5524475524475525,0.5583333333333333,0.5574675324675324,0.9703296703296704,0.7072425366543014
individual,P25,valence,face,svm,5,5,5,0.4253946053946054,0.04578909935910668,0.40559440559440557,0.3857142857142857,0.5,0.45,0.4957843137254902,0.6835164835164835,0.5700029061319384
individual,P25,valence,face,svm,all,all,5,0.5133466533466533,0.02271652269061645,0.5,0.5,0.5524475524475525,0.5583333333333333,0.5574675324675324,0.9703296703296704,0.7072425366543014
individual,P25,valence,multimodal,gnb,10,10,5,0.5532667332667333,0.02523514885456074,0.5419580419580419,0.5285714285714286,0.5804195804195804,0.55,0.6021062271062271,0.5483516483516484,0.5675814555814556
individual,P25,valence,multimodal,gnb,20,20,5,0.5925774225774225,0.09189285859511052,0.5642857142857143,0.49650349650349646,0.7342657342657343,0.5916666666666666,0.6322021116138763,0.6087912087912087,0.6120401337792643
individual,P25,valence,multimodal,gnb,5,5,5,0.5225874125874126,0.0963575718452604,0.5419580419580419,0.40559440559440557,0.6573426573426573,0.525,0.5706060606060606,0.5615384615384615,0.562857142857143
individual,P25,valence,multimodal,gnb,all,all,5,0.549010989010989,0.04870980739729221,0.5419580419580419,0.49650349650349646,0.6188811188811189,0.55,0.592930402930403,0.578021978021978,0.5815970695970696
individual,P25,valence,multimodal,knn,10,10,5,0.555094905094905,0.07884390313471239,0.5734265734265734,0.4642857142857143,0.6433566433566433,0.5666666666666667,0.5862890515057698,0.701098901098901,0.6325024630541872
individual,P25,valence,multimodal,knn,20,20,5,0.5454545454545455,0.07450096417014865,0.5524475524475525,0.44405594405594406,0.6188811188811189,0.5583333333333333,0.5845238095238094,0.7,0.6304779736828419
individual,P25,valence,multimodal,knn,5,5,5,0.5630869130869132,0.06617099757114109,0.5734265734265734,0.4755244755244755,0.6573426573426573,0.575,0.6016734143049932,0.6989010989010989,0.6435185185185185
individual,P25,valence,multimodal,knn,all,all,5,0.41800199800199805,0.08768123126057788,0.4571428571428572,0.27622377622377625,0.48951048951048953,0.4416666666666667,0.4927777777777778,0.6505494505494506,0.5595443349753695
