participant,target,task,window_id,window_index,window_start_s,high_class_score,nearest_image_distance,image_reference_distance_percentile,image_reference_nearest_distance_p95,image_reference_nearest_distance_max,nearest_distance_exceeds_image_p95,nearest_distance_exceeds_image_max,mean_11_image_neighbor_distance,feature_domain_reliability
P19,valence,pick_place,pick_place_s1_17.000,18,17.0,3.946292176918552e-58,14.98525780493018,100.0,1.3099880359456375,2.3901764237130623,True,True,17.13456376470492,beyond_image_reference
P19,valence,pick_place,pick_place_s1_18.000,19,18.0,6.90098776981706e-83,19.436153024560927,100.0,1.3099880359456375,2.3901764237130623,True,True,21.387211574330415,beyond_image_reference
P19,valence,pick_place,pick_place_s1_19.000,20,19.0,1.7201248768543563e-259,39.61879811429108,100.0,1.3099880359456375,2.3901764237130623,True,True,41.37563008896826,beyond_image_reference
P19,valence,pick_place,pick_place_s1_20.000,21,20.0,9.338656022649035e-265,39.64634920599047,100.0,1.3099880359456375,2.3901764237130623,True,True,41.51213370373711,beyond_image_reference
P19,valence,pick_place,pick_place_s1_21.000,22,21.0,1.5857603020920903e-163,29.660913634409972,100.0,1.3099880359456375,2.3901764237130623,True,True,31.624068165168254,beyond_image_reference
P19,valence,pick_place,pick_place_s1_22.000,23,22.0,5.16773846990193e-13,3.9414502639430595,100.0,1.3099880359456375,2.3901764237130623,True,True,6.1366267735704545,beyond_image_reference
P19,valence,pick_place,pick_place_s1_23.000,24,23.0,3.821133514494807e-09,3.606101380447799,100.0,1.3099880359456375,2.3901764237130623,True,True,4.8530978942954945,beyond_image_reference
P19,valence,pick_place,pick_place_s1_24.000,25,24.0,3.758924637500671e-153,29.05808428826998,100.0,1.3099880359456375,2.3901764237130623,True,True,30.91844290147318,beyond_image_reference
P19,valence,pick_place,pick_place_s1_25.000,26,25.0,4.681262784679919e-124,25.65863178664821,100.0,1.3099880359456375,2.3901764237130623,True,True,27.4676761871914,beyond_image_reference
P19,valence,pick_place,pick_place_s1_26.000,27,26.0,3.947692379330804e-11,4.651509149337693,100.0,1.3099880359456375,2.3901764237130623,True,True,5.958789821975959,beyond_image_reference
P19,valence,pick_place,pick_place_s1_27.000,28,27.0,2.221864750286756e-27,9.16500574992913,100.0,1.3099880359456375,2.3901764237130623,True,True,10.999260319181333,beyond_image_reference
P19,valence,pick_place,pick_place_s1_28.000,29,28.0,3.40754692461663e-70,17.85160016426002,100.0,1.3099880359456375,2.3901764237130623,True,True,19.722949872006165,beyond_image_reference
P19,valence,pick_place,pick_place_s1_29.000,30,29.0,1.2145327186905583e-38,11.974048388872962,100.0,1.3099880359456375,2.3901764237130623,True,True,13.786579683415084,beyond_image_reference
