mode,participant,held_out_participant,target,modality,regressor,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,rmse,mae,r2,explained_variance
individual,P19,P19,valence,multimodal,ridge,all,all,3,P19,120,96,24,1.8726242366396888,1.4741394234944618,-0.75336076582519,-0.7363308287850703
individual,P19,P19,valence,multimodal,ridge,all,all,4,P19,120,96,24,1.7478375896825211,1.4862571236110556,-0.1367204613608208,-0.101592133584786
individual,P19,P19,valence,multimodal,ridge,all,all,5,P19,120,96,24,1.249255730950033,1.0478949683258147,0.0132507446372945,0.2248860546492339
individual,P19,P19,valence,multimodal,ridge,5,5,1,P19,120,96,24,2.147853244783816,1.781820199283091,-0.1375195082234328,-0.1252076877093582
individual,P19,P19,valence,multimodal,ridge,5,5,2,P19,120,96,24,1.720772499370384,1.342390888964321,-0.2261462292476586,-0.1742420090740015
individual,P19,P19,valence,multimodal,ridge,5,5,3,P19,120,96,24,1.466885432117405,1.099753966358241,-0.075876435479133,-0.0751826151565986
individual,P19,P19,valence,multimodal,ridge,5,5,4,P19,120,96,24,1.7790063430239138,1.4389027795548082,-0.1776236534025375,-0.1535880223018084
individual,P19,P19,valence,multimodal,ridge,5,5,5,P19,120,96,24,1.2457389480585703,0.9860419367172808,0.0187985253732135,0.1164038598424229
individual,P19,P19,valence,multimodal,ridge,10,10,1,P19,120,96,24,2.1288920305357943,1.7576125932717936,-0.1175241506605304,-0.1066387558035599
individual,P19,P19,valence,multimodal,ridge,10,10,2,P19,120,96,24,1.7001610867259211,1.314848855642349,-0.1969485889220916,-0.1144354124250199
individual,P19,P19,valence,multimodal,ridge,10,10,3,P19,120,96,24,1.4162341927040545,1.0409700426679749,-0.0028596442920525,-0.0026329186159201
individual,P19,P19,valence,multimodal,ridge,10,10,4,P19,120,96,24,1.776519498041044,1.427809391018459,-0.1743335914120942,-0.1485756181280786
individual,P19,P19,valence,multimodal,ridge,10,10,5,P19,120,96,24,1.2100029990487406,0.9646528882450776,0.0742856416693729,0.1877038589868592
individual,P19,P19,valence,multimodal,ridge,20,20,1,P19,120,96,24,2.2614735979549656,1.8160663110475936,-0.2610511098144217,-0.2423165101059206
individual,P19,P19,valence,multimodal,ridge,20,20,2,P19,120,96,24,1.7146404963638249,1.3357318611767932,-0.2174230124370746,-0.1316669182940903
individual,P19,P19,valence,multimodal,ridge,20,20,3,P19,120,96,24,1.5143329995417183,1.1421292082535004,-0.1466022167505092,-0.145626294788195
individual,P19,P19,valence,multimodal,ridge,20,20,4,P19,120,96,24,1.6628803634469445,1.3434426159999144,-0.0289008755860247,-0.0007271604851251
individual,P19,P19,valence,multimodal,ridge,20,20,5,P19,120,96,24,1.2307619383815656,0.9816423288423608,0.0422498676114166,0.1875692395991258
individual,P19,P19,arousal,eeg,knn,all,all,1,P19,120,96,24,1.958505502073684,1.6856060606060606,-0.0010822065029751,0.0065007283362102
individual,P19,P19,arousal,eeg,knn,all,all,2,P19,120,96,24,1.448055636478208,1.228561409580022,0.1317078987996308,0.1621176563328582
