task_type,model_scope,target,modality,model,input_representation,ica_status,label_condition,experiment,best_primary_metric,primary_metric_name,secondary_metric,secondary_metric_name,participant_if_individual,feature_count_or_family,channel_subset,hyperparameters_if_available,n_participants,source_run,source_file,notes
classification,individual,arousal,eeg,kNN,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.452991452991453,balanced_accuracy,0.4920948616600791,accuracy,P01,10,,,46,{participant_lower}_no_ica,outputs/image_classification/no_ica/results_summary.csv,mean outer-fold metric
classification,individual,arousal,eeg,kNN,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.492979242979243,balanced_accuracy,0.5450592885375494,accuracy,P01,20,,,46,{participant_lower}_no_ica,outputs/image_classification/no_ica/results_summary.csv,mean outer-fold metric
classification,individual,arousal,eeg,kNN,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.4587912087912087,balanced_accuracy,0.509090909090909,accuracy,P01,5,,,46,{participant_lower}_no_ica,outputs/image_classification/no_ica/results_summary.csv,mean outer-fold metric
classification,individual,arousal,eeg,kNN,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.5414529914529915,balanced_accuracy,0.598814229249012,accuracy,P01,all,,,46,{participant_lower}_no_ica,outputs/image_classification/no_ica/results_summary.csv,mean outer-fold metric
classification,individual,arousal,eeg,SVM,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.4675824175824176,balanced_accuracy,0.5181818181818182,accuracy,P01,10,,,46,{participant_lower}_no_ica,outputs/image_classification/no_ica/results_summary.csv,mean outer-fold metric
classification,individual,arousal,eeg,SVM,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.4297924297924297,balanced_accuracy,0.4723320158102767,accuracy,P01,20,,,46,{participant_lower}_no_ica,outputs/image_classification/no_ica/results_summary.csv,mean outer-fold metric
classification,individual,arousal,eeg,SVM,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.4756410256410256,balanced_accuracy,0.5541501976284585,accuracy,P01,5,,,46,{participant_lower}_no_ica,outputs/image_classification/no_ica/results_summary.csv,mean outer-fold metric
classification,individual,arousal,eeg,SVM,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.4915750915750916,balanced_accuracy,0.5367588932806324,accuracy,P01,all,,,46,{participant_lower}_no_ica,outputs/image_classification/no_ica/results_summary.csv,mean outer-fold metric
classification,individual,arousal,face,GaussianNB,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.5895238095238096,balanced_accuracy,0.6264492753623189,accuracy,P01,10,,,46,{participant_lower}_no_ica,outputs/image_classification/no_ica/results_summary.csv,mean outer-fold metric
classification,individual,arousal,face,GaussianNB,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.5895238095238096,balanced_accuracy,0.6264492753623189,accuracy,P01,10,,,46,{participant_lower}_no_ica,outputs/image_classification/no_ica/results_summary.csv,mean outer-fold metric
classification,individual,arousal,face,GaussianNB,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.6033333333333333,balanced_accuracy,0.6434782608695653,accuracy,P01,5,,,46,{participant_lower}_no_ica,outputs/image_classification/no_ica/results_summary.csv,mean outer-fold metric
