participant,target,modality,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,feature_count_resolved,outer_folds,mean_outer_cv_balanced_accuracy,fold_ba_sd,outer_fold_ba_values,mean_accuracy,low_count,high_count,sample_size
P03,valence,multimodal,logreg,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.4735714285714286,0.15192780464131395,"[0.4107142857142857, 0.7321428571428572, 0.43333333333333335, 0.4583333333333333, 0.3333333333333333]",0.4872727272727273,21,32,53
P03,valence,multimodal,logreg,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.4390476190476191,0.09426361573640528,"[0.3392857142857143, 0.4642857142857143, 0.43333333333333335, 0.5833333333333333, 0.375]",0.4545454545454545,21,32,53
P03,valence,multimodal,logreg,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.5971428571428572,0.17192100239865882,"[0.6785714285714286, 0.8571428571428572, 0.45, 0.4583333333333333, 0.5416666666666667]",0.62,21,32,53
P03,valence,multimodal,svm,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.5485714285714286,0.07063748434798157,"[0.42857142857142855, 0.5892857142857143, 0.6, 0.5416666666666667, 0.5833333333333334]",0.5654545454545454,21,32,53
P03,valence,multimodal,svm,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.445952380952381,0.08964846943792379,"[0.35714285714285715, 0.4642857142857143, 0.45, 0.5833333333333333, 0.375]",0.4727272727272728,21,32,53
P03,valence,multimodal,svm,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.5190476190476191,0.07184896131907814,"[0.42857142857142855, 0.625, 0.5, 0.5416666666666667, 0.5]",0.6036363636363636,21,32,53
P04,arousal,face,gnb,face_geometry,all_face,5,primary,10,5,5,0.5266666666666666,0.02557969874049186,"[0.5, 0.5666666666666667, 0.5222222222222221, 0.5111111111111111, 0.5333333333333333]",0.5583333333333333,45,75,120
P04,arousal,face,gnb,face_geometry,all_face,all,primary,10,all,5,0.5466666666666666,0.06497862896539311,"[0.5555555555555556, 0.5, 0.5, 0.6555555555555556, 0.5222222222222221]",0.5666666666666667,45,75,120
P04,arousal,face,logreg,face_geometry,all_face,5,primary,10,5,5,0.5244444444444445,0.037184890068181146,"[0.5555555555555556, 0.5, 0.5222222222222221, 0.5666666666666667, 0.4777777777777778]",0.5333333333333333,45,75,120
P04,arousal,face,logreg,face_geometry,all_face,all,primary,10,all,5,0.5555555555555556,0.08713548411865626,"[0.5555555555555556, 0.5777777777777777, 0.47777777777777775, 0.47777777777777775, 0.6888888888888889]",0.6,45,75,120
P04,arousal,face,svm,face_geometry,all_face,5,primary,10,5,5,0.5111111111111111,0.055555555555555546,"[0.5222222222222221, 0.5, 0.45555555555555555, 0.6, 0.4777777777777778]",0.5166666666666667,45,75,120
P04,arousal,face,svm,face_geometry,all_face,all,primary,10,all,5,0.6088888888888888,0.0897183521697171,"[0.6111111111111112, 0.6333333333333333, 0.45555555555555555, 0.6666666666666666, 0.6777777777777778]",0.6166666666666667,45,75,120
P04,arousal,multimodal,gnb,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.4396062271062271,0.12248793246878513,"[0.5288461538461539, 0.4855769230769231, 0.22527472527472528, 0.45833333333333337, 0.5]",0.44952380952380955,39,63,102
P04,arousal,multimodal,gnb,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.45869963369963374,0.12410057355143207,"[0.5432692307692308, 0.5336538461538461, 0.2582417582417582, 0.4166666666666667, 0.5416666666666667]",0.46904761904761905,39,63,102
P04,arousal,multimodal,gnb,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.4676739926739927,0.10607582065369302,"[0.6298076923076923, 0.4567307692307692, 0.3351648351648352, 0.4791666666666667, 0.4375]",0.46952380952380957,39,63,102
P04,arousal,multimodal,logreg,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.45869963369963374,0.10054063043042323,"[0.4423076923076923, 0.47115384615384615, 0.2967032967032967, 0.5416666666666667, 0.5416666666666667]",0.4704761904761905,39,63,102
P04,arousal,multimodal,logreg,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.44862637362637364,0.0885927781341099,"[0.4423076923076923, 0.40865384615384615, 0.32967032967032966, 0.5625, 0.5]",0.4609523809523809,39,63,102
