participant,target,classifier,modality,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,fold,feature_count_resolved,outer_folds,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy
P02,valence,logreg,face,face_geometry,all_face,5,primary,10,3,5,5,93,74,19,29,64,0.5256410256410257,0.47368421052631576
P02,valence,logreg,face,face_geometry,all_face,5,primary,10,4,5,5,93,75,18,29,64,0.38461538461538464,0.5555555555555556
P02,valence,logreg,face,face_geometry,all_face,5,primary,10,5,5,5,93,75,18,29,64,0.5416666666666666,0.6111111111111112
P02,valence,svm,face,face_geometry,all_face,5,primary,10,1,5,5,93,74,19,29,64,0.5512820512820513,0.631578947368421
P02,valence,svm,face,face_geometry,all_face,5,primary,10,2,5,5,93,74,19,29,64,0.5448717948717949,0.6842105263157895
P02,valence,svm,face,face_geometry,all_face,5,primary,10,3,5,5,93,74,19,29,64,0.5897435897435898,0.6842105263157895
P02,valence,svm,face,face_geometry,all_face,5,primary,10,4,5,5,93,75,18,29,64,0.7230769230769231,0.7777777777777778
P02,valence,svm,face,face_geometry,all_face,5,primary,10,5,5,5,93,75,18,29,64,0.41666666666666663,0.5
P02,valence,gnb,face,face_geometry,all_face,5,primary,10,1,5,5,93,74,19,29,64,0.5897435897435898,0.6842105263157895
P02,valence,gnb,face,face_geometry,all_face,5,primary,10,2,5,5,93,74,19,29,64,0.5448717948717949,0.6842105263157895
P02,valence,gnb,face,face_geometry,all_face,5,primary,10,3,5,5,93,74,19,29,64,0.5064102564102564,0.631578947368421
P02,valence,gnb,face,face_geometry,all_face,5,primary,10,4,5,5,93,75,18,29,64,0.46153846153846156,0.6666666666666666
P02,valence,gnb,face,face_geometry,all_face,5,primary,10,5,5,5,93,75,18,29,64,0.5416666666666666,0.6111111111111112
P02,valence,logreg,face,face_geometry,all_face,all,primary,10,1,all,5,93,74,19,29,64,0.5192307692307692,0.5263157894736842
P02,valence,logreg,face,face_geometry,all_face,all,primary,10,2,all,5,93,74,19,29,64,0.5897435897435898,0.6842105263157895
P02,valence,logreg,face,face_geometry,all_face,all,primary,10,3,all,5,93,74,19,29,64,0.5897435897435898,0.6842105263157895
P02,valence,logreg,face,face_geometry,all_face,all,primary,10,4,all,5,93,75,18,29,64,0.34615384615384615,0.5
P02,valence,logreg,face,face_geometry,all_face,all,primary,10,5,all,5,93,75,18,29,64,0.4166666666666667,0.5555555555555556
P02,valence,svm,face,face_geometry,all_face,all,primary,10,1,all,5,93,74,19,29,64,0.5897435897435898,0.6842105263157895
P02,valence,svm,face,face_geometry,all_face,all,primary,10,2,all,5,93,74,19,29,64,0.5064102564102564,0.631578947368421
P02,valence,svm,face,face_geometry,all_face,all,primary,10,3,all,5,93,74,19,29,64,0.717948717948718,0.7368421052631579
P02,valence,svm,face,face_geometry,all_face,all,primary,10,4,all,5,93,75,18,29,64,0.5230769230769231,0.6666666666666666
P02,valence,svm,face,face_geometry,all_face,all,primary,10,5,all,5,93,75,18,29,64,0.5,0.5555555555555556
