mode,participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,best_parameters,inner_best_balanced_accuracy
individual,P19,valence,multimodal,knn,20,20,1,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.3462962962962962
individual,P19,valence,multimodal,knn,20,20,2,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.374074074074074
individual,P19,valence,multimodal,knn,20,20,3,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.3185185185185185
individual,P19,valence,multimodal,knn,20,20,4,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.3862433862433862
individual,P19,valence,multimodal,knn,20,20,5,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.3351851851851852
individual,P19,valence,multimodal,svm,all,all,1,"{""classifier__C"": 0.1, ""classifier__kernel"": ""linear""}",0.3999999999999999
individual,P19,valence,multimodal,svm,all,all,2,"{""classifier__C"": 0.1, ""classifier__kernel"": ""linear""}",0.3425925925925926
individual,P19,valence,multimodal,svm,all,all,3,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.3351851851851852
individual,P19,valence,multimodal,svm,all,all,4,"{""classifier__C"": 0.1, ""classifier__kernel"": ""linear""}",0.4182539682539682
individual,P19,valence,multimodal,svm,all,all,5,"{""classifier__C"": 0.1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.3333333333333333
individual,P19,valence,multimodal,svm,5,5,1,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.3907407407407408
individual,P19,valence,multimodal,svm,5,5,2,"{""classifier__C"": 10, ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}",0.3462962962962963
individual,P19,valence,multimodal,svm,5,5,3,"{""classifier__C"": 0.1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.3333333333333333
individual,P19,valence,multimodal,svm,5,5,4,"{""classifier__C"": 0.1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.3333333333333333
individual,P19,valence,multimodal,svm,5,5,5,"{""classifier__C"": 10, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.3425925925925926
individual,P19,valence,multimodal,svm,10,10,1,"{""classifier__C"": 10, ""classifier__kernel"": ""linear""}",0.411111111111111
individual,P19,valence,multimodal,svm,10,10,2,"{""classifier__C"": 1, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.3518518518518518
individual,P19,valence,multimodal,svm,10,10,3,"{""classifier__C"": 0.1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.3333333333333333
individual,P19,valence,multimodal,svm,10,10,4,"{""classifier__C"": 0.1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.3333333333333333
individual,P19,valence,multimodal,svm,10,10,5,"{""classifier__C"": 0.1, ""classifier__kernel"": ""linear""}",0.3444444444444444
individual,P19,valence,multimodal,svm,20,20,1,"{""classifier__C"": 0.1, ""classifier__kernel"": ""linear""}",0.4203703703703703
individual,P19,valence,multimodal,svm,20,20,2,"{""classifier__C"": 1, ""classifier__kernel"": ""linear""}",0.3907407407407406
individual,P19,valence,multimodal,svm,20,20,3,"{""classifier__C"": 1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.3407407407407407
individual,P19,valence,multimodal,svm,20,20,4,"{""classifier__C"": 0.1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.3333333333333333
individual,P19,valence,multimodal,svm,20,20,5,"{""classifier__C"": 1, ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}",0.3518518518518518
individual,P19,valence,multimodal,gnb,all,all,1,"{""classifier__var_smoothing"": 1e-11}",0.3259259259259259
individual,P19,valence,multimodal,gnb,all,all,2,"{""classifier__var_smoothing"": 1e-11}",0.2981481481481481
individual,P19,valence,multimodal,gnb,all,all,3,"{""classifier__var_smoothing"": 1e-11}",0.3574074074074074
individual,P19,valence,multimodal,gnb,all,all,4,"{""classifier__var_smoothing"": 1e-11}",0.3521164021164021
individual,P19,valence,multimodal,gnb,all,all,5,"{""classifier__var_smoothing"": 1e-11}",0.2695767195767196
individual,P19,valence,multimodal,gnb,5,5,1,"{""classifier__var_smoothing"": 1e-11}",0.3148148148148147
individual,P19,valence,multimodal,gnb,5,5,2,"{""classifier__var_smoothing"": 1e-11}",0.324074074074074
individual,P19,valence,multimodal,gnb,5,5,3,"{""classifier__var_smoothing"": 1e-11}",0.2777777777777778
individual,P19,valence,multimodal,gnb,5,5,4,"{""classifier__var_smoothing"": 1e-11}",0.251058201058201
individual,P19,valence,multimodal,gnb,5,5,5,"{""classifier__var_smoothing"": 1e-11}",0.2740740740740741
individual,P19,valence,multimodal,gnb,10,10,1,"{""classifier__var_smoothing"": 1e-11}",0.3407407407407407
individual,P19,valence,multimodal,gnb,10,10,2,"{""classifier__var_smoothing"": 1e-11}",0.362962962962963
individual,P19,valence,multimodal,gnb,10,10,3,"{""classifier__var_smoothing"": 1e-11}",0.3166666666666666
individual,P19,valence,multimodal,gnb,10,10,4,"{""classifier__var_smoothing"": 1e-11}",0.2706349206349206
individual,P19,valence,multimodal,gnb,10,10,5,"{""classifier__var_smoothing"": 1e-11}",0.3388888888888888
individual,P19,valence,multimodal,gnb,20,20,1,"{""classifier__var_smoothing"": 1e-11}",0.3703703703703703
individual,P19,valence,multimodal,gnb,20,20,2,"{""classifier__var_smoothing"": 1e-11}",0.3481481481481481
individual,P19,valence,multimodal,gnb,20,20,3,"{""classifier__var_smoothing"": 1e-11}",0.2814814814814814
individual,P19,valence,multimodal,gnb,20,20,4,"{""classifier__var_smoothing"": 1e-11}",0.2984126984126984
individual,P19,valence,multimodal,gnb,20,20,5,"{""classifier__var_smoothing"": 1e-11}",0.287037037037037
individual,P19,arousal,eeg,knn,all,all,1,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.390464587394412
individual,P19,arousal,eeg,knn,all,all,2,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.432277452891488
individual,P19,arousal,eeg,knn,all,all,3,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.4001299545159194
individual,P19,arousal,eeg,knn,all,all,4,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.3633690708252112
individual,P19,arousal,eeg,knn,all,all,5,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.3726608187134503
individual,P19,arousal,eeg,knn,5,5,1,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.3886452241715399
individual,P19,arousal,eeg,knn,5,5,2,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""distance""}",0.3557667316439246
individual,P19,arousal,eeg,knn,5,5,3,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.4562540610786225
individual,P19,arousal,eeg,knn,5,5,4,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.3491715399610136
individual,P19,arousal,eeg,knn,5,5,5,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.3426900584795322
individual,P19,arousal,eeg,knn,10,10,1,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.341130604288499
individual,P19,arousal,eeg,knn,10,10,2,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.3102339181286549
individual,P19,arousal,eeg,knn,10,10,3,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.430669265756985
