participant,target,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,fold,feature_count_resolved,outer_folds,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy,modality
P01,arousal,gnb,all_eeg,all_channels,8,primary,120,5,8,5,112,90,22,45,67,0.5170940170940171,0.5909090909090909,eeg
P01,arousal,logreg,all_eeg,all_channels,10,primary,120,1,10,5,112,89,23,45,67,0.4166666666666666,0.4347826086956521,eeg
P01,arousal,logreg,all_eeg,all_channels,10,primary,120,2,10,5,112,89,23,45,67,0.5436507936507937,0.5652173913043478,eeg
P01,arousal,logreg,all_eeg,all_channels,10,primary,120,3,10,5,112,90,22,45,67,0.5128205128205128,0.5454545454545454,eeg
P01,arousal,logreg,all_eeg,all_channels,10,primary,120,4,10,5,112,90,22,45,67,0.6752136752136753,0.6363636363636364,eeg
P01,arousal,logreg,all_eeg,all_channels,10,primary,120,5,10,5,112,90,22,45,67,0.4957264957264957,0.5454545454545454,eeg
P01,arousal,svm,all_eeg,all_channels,10,primary,120,1,10,5,112,89,23,45,67,0.3968253968253968,0.4347826086956521,eeg
P01,arousal,svm,all_eeg,all_channels,10,primary,120,2,10,5,112,89,23,45,67,0.5436507936507937,0.5652173913043478,eeg
P01,arousal,svm,all_eeg,all_channels,10,primary,120,3,10,5,112,90,22,45,67,0.5299145299145299,0.5454545454545454,eeg
P01,arousal,svm,all_eeg,all_channels,10,primary,120,4,10,5,112,90,22,45,67,0.5,0.5909090909090909,eeg
P01,arousal,svm,all_eeg,all_channels,10,primary,120,5,10,5,112,90,22,45,67,0.5555555555555556,0.6363636363636364,eeg
P01,arousal,gnb,all_eeg,all_channels,10,primary,120,1,10,5,112,89,23,45,67,0.4007936507936508,0.391304347826087,eeg
P01,arousal,gnb,all_eeg,all_channels,10,primary,120,2,10,5,112,89,23,45,67,0.4365079365079365,0.4347826086956521,eeg
P01,arousal,gnb,all_eeg,all_channels,10,primary,120,3,10,5,112,90,22,45,67,0.4401709401709401,0.5,eeg
P01,arousal,gnb,all_eeg,all_channels,10,primary,120,4,10,5,112,90,22,45,67,0.5170940170940171,0.5909090909090909,eeg
P01,arousal,gnb,all_eeg,all_channels,10,primary,120,5,10,5,112,90,22,45,67,0.5726495726495726,0.6363636363636364,eeg
P01,arousal,logreg,paper_compact,all_channels,8,secondary,64,1,8,5,112,89,23,45,67,0.4920634920634921,0.4782608695652174,eeg
P01,arousal,logreg,paper_compact,all_channels,8,secondary,64,2,8,5,112,89,23,45,67,0.5595238095238095,0.6086956521739131,eeg
P01,arousal,logreg,paper_compact,all_channels,8,secondary,64,3,8,5,112,90,22,45,67,0.4358974358974359,0.4545454545454545,eeg
