mode,participant,held_out_participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,best_parameters,inner_best_balanced_accuracy
individual,P22,P22,valence,eeg,knn,20,20,4,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5607608765503502
individual,P22,P22,valence,eeg,knn,20,20,5,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5305196752565173
individual,P25,P25,valence,eeg,knn,20,20,1,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.5945533769063182
individual,P25,P25,valence,eeg,knn,20,20,2,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.46574852163087455
individual,P25,P25,valence,eeg,knn,20,20,3,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5540927482103952
individual,P25,P25,valence,eeg,knn,20,20,4,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.6007158418923125
individual,P25,P25,valence,eeg,knn,20,20,5,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.5419234360410831
individual,P32,P32,valence,eeg,knn,20,20,1,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.603063725490196
individual,P32,P32,valence,eeg,knn,20,20,2,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5372549019607843
individual,P32,P32,valence,eeg,knn,20,20,3,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5501633986928104
individual,P32,P32,valence,eeg,knn,20,20,4,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.49660947712418296
individual,P32,P32,valence,eeg,knn,20,20,5,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5879493464052287
individual,P40,P40,valence,eeg,knn,20,20,1,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5900715841892313
individual,P40,P40,valence,eeg,knn,20,20,2,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.597743541861189
individual,P40,P40,valence,eeg,knn,20,20,3,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.592530345471522
individual,P40,P40,valence,eeg,knn,20,20,4,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5496576408341114
individual,P40,P40,valence,eeg,knn,20,20,5,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.5265328353563649
individual,P42,P42,valence,eeg,knn,20,20,1,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5912698412698413
individual,P42,P42,valence,eeg,knn,20,20,2,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.6812169312169312
individual,P42,P42,valence,eeg,knn,20,20,3,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5621693121693122
individual,P42,P42,valence,eeg,knn,20,20,4,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5227813122549964
individual,P42,P42,valence,eeg,knn,20,20,5,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.65102928260823
individual,P43,P43,valence,eeg,knn,20,20,1,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5412337662337663
individual,P43,P43,valence,eeg,knn,20,20,2,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.49711399711399706
individual,P43,P43,valence,eeg,knn,20,20,3,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.6318903318903318
individual,P43,P43,valence,eeg,knn,20,20,4,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5895382395382395
individual,P43,P43,valence,eeg,knn,20,20,5,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5753607503607504
