participant,target,task,task_label,feature,image_low_median,image_low_iqr,image_high_median,image_high_iqr,image_overall_median,image_overall_iqr,image_min,image_max,robot_median,robot_iqr,robot_min,robot_max,robot_z_median_abs,robot_z_p95_abs,robot_z_max_abs,robot_z_pct_abs_gt_2,robot_z_pct_abs_gt_3,robot_z_pct_abs_gt_5,robot_pct_outside_image_min_max,iqr_overlap,distance_median_contribution,distance_p95_contribution,distance_largest_contributor_pct,transferability_category,shift_indicator_count
P19,valence,stack,Stack,eeg_se__PO8,4.18020063539655,0.31679861128026765,4.357554311039212,0.32759882218933534,4.286688362122769,0.34030216504695954,3.555258305383176,4.76267914443993,3.4960104953118005,0.671411542890826,1.4095580737477271,4.687463573669009,3.088481658389267,6.440248612002496,11.379411963942369,64.70588235294117,52.94117647058824,11.76470588235294,54.41176470588235,neither,0.0,0.0,0.0,SEVERELY_SHIFTED,6
P19,valence,stack,Stack,eeg_hc__PO8,1.974150724765359,0.2665160164732536,1.8726584094868293,0.163247229991615,1.9110862567497846,0.21781775393640435,1.4893668759545322,2.628936830864649,2.6071011946188514,0.5931673265445352,1.8519871646142856,14.12168748524994,3.670987174213107,9.494107984920104,64.57055399750843,75.0,60.29411764705882,26.47058823529412,47.05882352941176,neither,0.0,0.0,0.0,SEVERELY_SHIFTED,6
P19,valence,stack,Stack,eeg_mf_hz__Fz,9.0,5.0,11.0,3.0,10.0,3.25,4.0,21.0,2.0,1.0,2.0,4.0,2.260196895847215,2.260196895847215,2.260196895847215,73.52941176470588,0.0,0.0,98.52941176470588,neither,0.0,0.0,0.0,MODERATELY_SHIFTED,3
P19,valence,stack,Stack,eeg_mf_hz__PO8,6.0,2.0,7.0,2.0,6.0,2.0,3.0,12.0,3.0,1.0,2.0,9.0,2.1890818184619762,2.7861041325879694,2.7861041325879694,69.11764705882352,0.0,0.0,14.705882352941178,neither,0.0,0.0,0.0,MODERATELY_SHIFTED,2
P19,valence,stack,Stack,eeg_bp_delta__Fz,14.749028388355123,7.872361344786395,11.5987649228913,7.647725680869842,12.13778562384432,8.852124210642575,2.196954279885814,43.87831178778889,274.0690541572934,241.8518316535128,74.6945654656161,655525.1519254034,32.968783212659204,127.84128994712744,83114.77231177285,100.0,100.0,100.0,100.0,neither,0.0,0.0,0.0,SEVERELY_SHIFTED,6
P19,valence,sisyphus,Sisyphus,eeg_se__PO8,4.18020063539655,0.31679861128026765,4.357554311039212,0.32759882218933534,4.286688362122769,0.34030216504695954,3.555258305383176,4.76267914443993,3.815567781598426,0.6082491476956307,1.3969129408555154,4.717337546465352,1.8186577401194237,5.990361782854164,11.429659894079778,45.05494505494506,24.175824175824175,9.89010989010989,25.274725274725274,both,0.0,0.0,0.0,MODERATELY_SHIFTED,2
P19,valence,sisyphus,Sisyphus,eeg_hc__PO8,1.974150724765359,0.2665160164732536,1.8726584094868293,0.163247229991615,1.9110862567497846,0.21781775393640435,1.4893668759545322,2.628936830864649,2.362130463825049,0.5339980801881339,1.674798195713285,10.969117078513296,2.375359957291969,7.440077725634165,47.896904827288964,54.94505494505495,38.46153846153847,14.285714285714285,26.373626373626376,neither,0.0,0.0,0.0,SEVERELY_SHIFTED,6
P19,valence,sisyphus,Sisyphus,eeg_mf_hz__Fz,9.0,5.0,11.0,3.0,10.0,3.25,4.0,21.0,2.0,1.0,2.0,4.0,2.260196895847215,2.260196895847215,2.260196895847215,71.42857142857143,0.0,0.0,98.9010989010989,neither,0.0,0.0,0.0,MODERATELY_SHIFTED,3
P19,valence,sisyphus,Sisyphus,eeg_mf_hz__PO8,6.0,2.0,7.0,2.0,6.0,2.0,3.0,12.0,4.0,1.0,2.0,9.0,1.5920595043359826,2.7861041325879694,2.7861041325879694,49.45054945054945,0.0,0.0,13.186813186813188,neither,0.0,0.0,0.0,TRANSFER_COMPATIBLE,1
P19,valence,sisyphus,Sisyphus,eeg_bp_delta__Fz,14.749028388355123,7.872361344786395,11.5987649228913,7.647725680869842,12.13778562384432,8.852124210642575,2.196954279885814,43.87831178778889,278.03478633618647,310.8097211037149,45.03151688927021,645281.1352118326,33.471613639569654,104.1031102860436,81815.89405550079,100.0,100.0,98.9010989010989,100.0,neither,0.0,0.0,0.0,SEVERELY_SHIFTED,6
