mode,participant,held_out_participant,target,modality,classifier,feature_count_request,fold,tn,fp,fn,tp
general,COHORT,P11,valence,eeg,svm,20,11,54,4,61,1
general,COHORT,P12,valence,eeg,svm,20,12,0,36,0,84
general,COHORT,P13,valence,eeg,svm,20,13,7,21,5,55
general,COHORT,P14,valence,eeg,svm,20,14,32,30,16,38
general,COHORT,P15,valence,eeg,svm,20,15,9,29,30,48
general,COHORT,P16,valence,eeg,svm,20,16,0,55,0,62
general,COHORT,P17,valence,eeg,svm,20,17,0,51,0,67
general,COHORT,P18,valence,eeg,svm,20,18,0,56,0,60
general,COHORT,P19,valence,eeg,svm,20,19,13,30,22,55
general,COHORT,P20,valence,eeg,svm,20,20,5,47,7,58
general,COHORT,P21,valence,eeg,svm,20,21,24,2,80,5
general,COHORT,P22,valence,eeg,svm,20,22,16,52,11,41
general,COHORT,P23,valence,eeg,svm,20,23,25,44,17,31
general,COHORT,P24,valence,eeg,svm,20,24,0,62,0,55
general,COHORT,P25,valence,eeg,svm,20,25,14,40,23,43
general,COHORT,P26,valence,eeg,svm,20,26,0,66,0,51
general,COHORT,P27,valence,eeg,svm,20,27,1,36,1,78
general,COHORT,P28,valence,eeg,svm,20,28,2,36,11,61
general,COHORT,P29,valence,eeg,svm,20,29,29,17,32,32
general,COHORT,P30,valence,eeg,svm,20,30,35,22,28,31
general,COHORT,P31,valence,eeg,svm,20,31,32,24,29,31
general,COHORT,P32,valence,eeg,svm,20,32,0,58,0,62
general,COHORT,P33,valence,eeg,svm,20,33,14,46,14,43
general,COHORT,P34,valence,eeg,svm,20,34,24,46,16,32
general,COHORT,P35,valence,eeg,svm,20,35,0,62,0,52
general,COHORT,P36,valence,eeg,svm,20,36,13,34,12,43
general,COHORT,P37,valence,eeg,svm,20,37,7,39,8,54
general,COHORT,P38,valence,eeg,svm,20,38,0,49,0,68
general,COHORT,P39,valence,eeg,svm,20,39,10,23,34,50
general,COHORT,P40,valence,eeg,svm,20,40,13,41,19,47
general,COHORT,P41,valence,eeg,svm,20,41,28,24,30,35
general,COHORT,P42,valence,eeg,svm,20,42,21,31,21,47
general,COHORT,P43,valence,eeg,svm,20,43,17,26,27,50
general,COHORT,P44,valence,eeg,svm,20,44,17,18,61,23
general,COHORT,P45,valence,eeg,svm,20,45,8,34,11,67
general,COHORT,P46,valence,eeg,svm,20,46,40,9,45,23
general,COHORT,P01,valence,eeg,gnb,all,1,9,43,5,57
general,COHORT,P02,valence,eeg,gnb,all,2,4,21,6,54
general,COHORT,P03,valence,eeg,gnb,all,3,7,14,13,19
general,COHORT,P04,valence,eeg,gnb,all,4,1,38,2,60
general,COHORT,P05,valence,eeg,gnb,all,5,1,61,1,54
general,COHORT,P06,valence,eeg,gnb,all,6,0,44,0,71
general,COHORT,P07,valence,eeg,gnb,all,7,1,24,7,87
general,COHORT,P08,valence,eeg,gnb,all,8,0,55,3,51
general,COHORT,P09,valence,eeg,gnb,all,9,0,47,1,67
general,COHORT,P10,valence,eeg,gnb,all,10,15,35,9,61
general,COHORT,P11,valence,eeg,gnb,all,11,29,29,32,30
general,COHORT,P12,valence,eeg,gnb,all,12,0,36,0,84
general,COHORT,P13,valence,eeg,gnb,all,13,16,12,27,33
general,COHORT,P14,valence,eeg,gnb,all,14,1,61,0,54
general,COHORT,P15,valence,eeg,gnb,all,15,0,38,0,78
general,COHORT,P16,valence,eeg,gnb,all,16,1,54,3,59
general,COHORT,P17,valence,eeg,gnb,all,17,18,33,27,40
general,COHORT,P18,valence,eeg,gnb,all,18,22,34,13,47
general,COHORT,P19,valence,eeg,gnb,all,19,8,35,30,47
general,COHORT,P20,valence,eeg,gnb,all,20,0,52,0,65
general,COHORT,P21,valence,eeg,gnb,all,21,26,0,85,0
general,COHORT,P22,valence,eeg,gnb,all,22,1,67,4,48
general,COHORT,P23,valence,eeg,gnb,all,23,13,56,7,41
general,COHORT,P24,valence,eeg,gnb,all,24,15,47,14,41
general,COHORT,P25,valence,eeg,gnb,all,25,8,46,21,45
general,COHORT,P26,valence,eeg,gnb,all,26,1,65,3,48
general,COHORT,P27,valence,eeg,gnb,all,27,1,36,2,77
general,COHORT,P28,valence,eeg,gnb,all,28,0,38,0,72
general,COHORT,P29,valence,eeg,gnb,all,29,3,43,2,62
general,COHORT,P30,valence,eeg,gnb,all,30,0,57,1,58
general,COHORT,P31,valence,eeg,gnb,all,31,31,25,32,28
general,COHORT,P32,valence,eeg,gnb,all,32,2,56,2,60
general,COHORT,P33,valence,eeg,gnb,all,33,14,46,17,40
general,COHORT,P34,valence,eeg,gnb,all,34,0,70,1,47
general,COHORT,P35,valence,eeg,gnb,all,35,0,62,1,51
general,COHORT,P36,valence,eeg,gnb,all,36,0,47,3,52
general,COHORT,P37,valence,eeg,gnb,all,37,0,46,2,60
general,COHORT,P38,valence,eeg,gnb,all,38,0,49,0,68
general,COHORT,P39,valence,eeg,gnb,all,39,16,17,43,41
general,COHORT,P40,valence,eeg,gnb,all,40,0,54,0,66
general,COHORT,P41,valence,eeg,gnb,all,41,3,49,3,62
general,COHORT,P42,valence,eeg,gnb,all,42,3,49,3,65
general,COHORT,P43,valence,eeg,gnb,all,43,0,43,0,77
general,COHORT,P44,valence,eeg,gnb,all,44,8,27,22,62
general,COHORT,P45,valence,eeg,gnb,all,45,0,42,0,78
general,COHORT,P46,valence,eeg,gnb,all,46,29,20,47,21
general,COHORT,P01,valence,eeg,gnb,5,1,0,52,1,61
general,COHORT,P02,valence,eeg,gnb,5,2,12,13,18,42
general,COHORT,P03,valence,eeg,gnb,5,3,9,12,17,15
general,COHORT,P04,valence,eeg,gnb,5,4,3,36,0,62
general,COHORT,P05,valence,eeg,gnb,5,5,0,62,0,55
general,COHORT,P06,valence,eeg,gnb,5,6,9,35,5,66
general,COHORT,P07,valence,eeg,gnb,5,7,2,23,2,92
general,COHORT,P08,valence,eeg,gnb,5,8,5,50,3,51
general,COHORT,P09,valence,eeg,gnb,5,9,3,44,12,56
general,COHORT,P10,valence,eeg,gnb,5,10,17,33,36,34
general,COHORT,P11,valence,eeg,gnb,5,11,11,47,6,56
general,COHORT,P12,valence,eeg,gnb,5,12,0,36,0,84
general,COHORT,P13,valence,eeg,gnb,5,13,12,16,26,34
