Timestamp,Experiment_Time,Frame_Count,Trigger,Emotion
2026-05-26 15:20:18.849,301.541,9016,0,no face
2026-05-26 15:20:18.882,301.574,9017,0,no face
2026-05-26 15:20:18.915,301.608,9018,0,no face
2026-05-26 15:20:18.949,301.641,9019,0,no face
2026-05-26 15:20:18.982,301.674,9020,0,no face
2026-05-26 15:20:19.015,301.708,9021,0,no face
2026-05-26 15:20:19.049,301.741,9022,0,no face
2026-05-26 15:20:19.082,301.774,9023,0,no face
2026-05-26 15:20:19.115,301.808,9024,0,no face
2026-05-26 15:20:19.149,301.841,9025,0,no face
2026-05-26 15:20:19.182,301.874,9026,0,no face
2026-05-26 15:20:19.216,301.908,9027,0,no face
2026-05-26 15:20:19.249,301.941,9028,0,no face
2026-05-26 15:20:19.282,301.974,9029,1,no face
2026-05-26 15:20:19.316,302.008,9030,0,no face
2026-05-26 15:20:19.349,302.041,9031,0,no face
2026-05-26 15:20:19.382,302.074,9032,0,no face
2026-05-26 15:20:19.416,302.108,9033,0,no face
2026-05-26 15:20:19.449,302.142,9034,0,no face
2026-05-26 15:20:19.483,302.176,9035,0,no face
2026-05-26 15:20:19.516,302.208,9036,0,no face
2026-05-26 15:20:19.549,302.242,9037,0,no face
2026-05-26 15:20:19.582,302.275,9038,0,no face
2026-05-26 15:20:19.615,302.308,9039,0,no face
2026-05-26 15:20:19.648,302.341,9040,0,no face
2026-05-26 15:20:19.682,302.375,9041,0,no face
2026-05-26 15:20:19.716,302.408,9042,0,no face
2026-05-26 15:20:19.749,302.441,9043,0,no face
2026-05-26 15:20:19.782,302.475,9044,0,no face
2026-05-26 15:20:19.817,302.509,9045,226,no face
2026-05-26 15:20:19.849,302.541,9046,0,no face
2026-05-26 15:20:19.882,302.575,9047,0,no face
2026-05-26 15:20:19.917,302.61,9048,0,no face
2026-05-26 15:20:19.949,302.641,9049,0,no face
2026-05-26 15:20:19.982,302.675,9050,0,no face
2026-05-26 15:20:20.016,302.708,9051,0,no face
2026-05-26 15:20:20.049,302.741,9052,0,no face
2026-05-26 15:20:20.082,302.775,9053,0,no face
2026-05-26 15:20:20.116,302.808,9054,0,no face
2026-05-26 15:20:20.149,302.841,9055,0,no face
2026-05-26 15:20:20.182,302.875,9056,0,no face
2026-05-26 15:20:20.216,302.909,9057,0,no face
2026-05-26 15:20:20.249,302.942,9058,0,no face
2026-05-26 15:20:20.282,302.975,9059,0,no face
2026-05-26 15:20:20.316,303.008,9060,0,no face
2026-05-26 15:20:20.349,303.042,9061,0,no face
2026-05-26 15:20:20.383,303.075,9062,0,no face
2026-05-26 15:20:20.416,303.108,9063,0,no face
2026-05-26 15:20:20.449,303.142,9064,0,no face
2026-05-26 15:20:20.483,303.175,9065,0,no face
2026-05-26 15:20:20.516,303.209,9066,0,no face
2026-05-26 15:20:20.549,303.242,9067,0,no face
2026-05-26 15:20:20.583,303.275,9068,0,no face
2026-05-26 15:20:20.619,303.312,9069,0,no face
2026-05-26 15:20:20.650,303.343,9070,0,no face
2026-05-26 15:20:20.683,303.375,9071,0,no face
2026-05-26 15:20:20.716,303.408,9072,0,no face
2026-05-26 15:20:20.749,303.442,9073,0,no face
2026-05-26 15:20:20.783,303.475,9074,0,no face
2026-05-26 15:20:20.816,303.509,9075,0,no face
2026-05-26 15:20:20.849,303.542,9076,0,no face
2026-05-26 15:20:20.883,303.575,9077,0,no face
2026-05-26 15:20:20.916,303.608,9078,0,no face
2026-05-26 15:20:20.949,303.642,9079,0,no face
2026-05-26 15:20:20.983,303.675,9080,0,no face
2026-05-26 15:20:21.016,303.708,9081,0,no face
2026-05-26 15:20:21.049,303.742,9082,0,no face
2026-05-26 15:20:21.083,303.776,9083,0,no face
2026-05-26 15:20:21.116,303.809,9084,0,no face
2026-05-26 15:20:21.150,303.842,9085,0,no face
2026-05-26 15:20:21.183,303.875,9086,0,no face
2026-05-26 15:20:21.216,303.909,9087,0,no face
2026-05-26 15:20:21.250,303.942,9088,0,no face
2026-05-26 15:20:21.283,303.975,9089,0,no face
2026-05-26 15:20:21.316,304.009,9090,0,no face
2026-05-26 15:20:21.350,304.042,9091,0,no face
2026-05-26 15:20:21.383,304.075,9092,0,no face
2026-05-26 15:20:21.416,304.109,9093,0,no face
2026-05-26 15:20:21.450,304.142,9094,0,no face
2026-05-26 15:20:21.483,304.175,9095,0,no face
2026-05-26 15:20:21.516,304.209,9096,0,no face
2026-05-26 15:20:21.552,304.245,9097,0,no face
2026-05-26 15:20:21.583,304.276,9098,0,no face
2026-05-26 15:20:21.616,304.309,9099,0,no face
2026-05-26 15:20:21.650,304.342,9100,0,no face
2026-05-26 15:20:21.683,304.376,9101,0,no face
2026-05-26 15:20:21.719,304.412,9102,0,no face
2026-05-26 15:20:21.752,304.444,9103,0,no face
2026-05-26 15:20:21.783,304.476,9104,0,no face
2026-05-26 15:20:21.816,304.509,9105,20,no face
2026-05-26 15:20:21.850,304.542,9106,0,no face
2026-05-26 15:20:21.883,304.576,9107,0,no face
2026-05-26 15:20:21.916,304.609,9108,0,no face
2026-05-26 15:20:21.950,304.643,9109,0,no face
2026-05-26 15:20:21.983,304.676,9110,0,no face
2026-05-26 15:20:22.017,304.709,9111,0,no face
2026-05-26 15:20:22.050,304.743,9112,0,no face
