participant,target,modality,old_best_ba,new_best_ba,delta_ba,improved,old_ge_060,new_ge_060,old_ge_065,new_ge_065
P41,valence,face,0.5884715284715284,0.5535764235764236,-0.034895104895104834,False,False,False,False,False
P42,valence,face,0.5993506493506493,0.5993506493506493,0.0,False,False,False,False,False
P43,valence,face,0.5276388888888889,0.5990277777777778,0.07138888888888895,True,False,False,False,False
P44,valence,face,0.595063025210084,0.5621848739495798,-0.032878151260504196,False,False,False,False,False
P45,valence,face,0.5936111111111111,0.5797222222222222,-0.01388888888888884,False,False,False,False,False
P46,valence,face,0.6009490509490509,0.6009490509490509,0.0,False,True,True,False,False
P01,valence,multimodal,0.5705128205128205,0.5628205128205128,-0.007692307692307665,False,False,False,False,False
P02,valence,multimodal,0.6301515151515151,0.6643939393939393,0.034242424242424185,True,True,True,False,True
P03,valence,multimodal,0.6054761904761905,0.6054761904761905,0.0,False,True,True,False,False
P04,valence,multimodal,0.606456043956044,0.606456043956044,0.0,False,True,True,False,False
P05,valence,multimodal,0.526981351981352,0.5358391608391608,0.008857808857808847,True,False,False,False,False
P06,valence,multimodal,0.611904761904762,0.611904761904762,0.0,False,True,True,False,False
P07,valence,multimodal,0.5202631578947369,0.4870760233918128,-0.0331871345029241,False,False,False,False,False
P08,valence,multimodal,0.5521212121212121,0.5521212121212121,0.0,False,False,False,False,False
P09,valence,multimodal,0.5615873015873015,0.5525396825396826,-0.009047619047618971,False,False,False,False,False
P10,valence,multimodal,0.5457142857142857,0.5042857142857142,-0.04142857142857148,False,False,False,False,False
P11,valence,multimodal,0.582983682983683,0.582983682983683,0.0,False,False,False,False,False
P12,valence,multimodal,0.546953781512605,0.519485294117647,-0.027468487394957997,False,False,False,False,False
P13,valence,multimodal,0.5802197802197802,0.5802197802197802,0.0,False,False,False,False,False
P14,valence,multimodal,0.5907575757575758,0.5574242424242424,-0.03333333333333344,False,False,False,False,False
P15,valence,multimodal,0.6195238095238096,0.6286904761904761,0.009166666666666545,True,True,True,False,False
P16,valence,multimodal,0.6078088578088578,0.6305361305361306,0.022727272727272707,True,True,True,False,False
P17,valence,multimodal,0.6361538461538461,0.6522077922077922,0.016053946053946166,True,True,True,False,True
P18,valence,multimodal,0.6342657342657343,0.6342657342657343,0.0,False,True,True,False,False
P19,valence,multimodal,0.6197222222222222,0.6219444444444444,0.0022222222222222365,True,True,True,False,False
P20,valence,multimodal,0.5677777777777777,0.5577777777777777,-0.010000000000000009,False,False,False,False,False
P21,valence,multimodal,0.5836764705882354,0.6102941176470589,0.026617647058823524,True,False,True,False,False
P22,valence,multimodal,0.6009157509157509,0.5880708180708181,-0.012844932844932822,False,True,False,False,False
P23,valence,multimodal,0.5518315018315019,0.5518315018315019,0.0,False,False,False,False,False
P24,valence,multimodal,0.5525058275058276,0.5287878787878788,-0.023717948717948745,False,False,False,False,False
P25,valence,multimodal,0.5665634365634367,0.5812987012987013,0.014735264735264653,True,False,False,False,False
P26,valence,multimodal,0.5370629370629371,0.5170929070929071,-0.019970029970029946,False,False,False,False,False
P27,valence,multimodal,0.5650000000000001,0.5983333333333333,0.033333333333333215,True,False,False,False,False
P28,valence,multimodal,0.5961904761904762,0.5961904761904762,0.0,False,False,False,False,False
P29,valence,multimodal,0.6076923076923076,0.6198717948717949,0.012179487179487247,True,True,True,False,False
P30,valence,multimodal,0.5159673659673659,0.3914918414918415,-0.1244755244755244,False,False,False,False,False
P31,valence,multimodal,0.518006993006993,0.4793706293706293,-0.038636363636363746,False,False,False,False,False
P32,valence,multimodal,0.6058857808857809,0.6065268065268066,0.0006410256410256387,True,True,True,False,False
P33,valence,multimodal,0.5878787878787879,0.6053030303030302,0.017424242424242342,True,False,True,False,False
P34,valence,multimodal,0.5382051282051281,0.4978266178266178,-0.04037851037851031,False,False,False,False,False
P35,valence,multimodal,0.6110256410256409,0.5635547785547785,-0.04747086247086241,False,True,False,False,False
P36,valence,multimodal,0.7144444444444444,0.7075252525252524,-0.0069191919191919915,False,True,True,True,True
P37,valence,multimodal,0.5971794871794872,0.514017094017094,-0.08316239316239327,False,False,False,False,False
P38,valence,multimodal,0.5433333333333333,0.5904761904761905,0.04714285714285715,True,False,False,False,False
P39,valence,multimodal,0.6672268907563025,0.6945378151260504,0.027310924369747913,True,True,True,True,True
P40,valence,multimodal,0.642887112887113,0.6281418581418581,-0.014745254745254899,False,True,True,False,False
P41,valence,multimodal,0.5852447552447553,0.5852447552447553,0.0,False,False,False,False,False
P42,valence,multimodal,0.5908591408591408,0.547032967032967,-0.04382617382617382,False,False,False,False,False
P43,valence,multimodal,0.5261111111111111,0.5418055555555557,0.015694444444444566,True,False,False,False,False
P44,valence,multimodal,0.5316701680672269,0.5465336134453781,0.014863445378151208,True,False,False,False,False
P45,valence,multimodal,0.5294444444444444,0.5256944444444445,-0.00374999999999992,False,False,False,False,False
P46,valence,multimodal,0.559010989010989,0.5818681318681318,0.022857142857142798,True,False,False,False,False
