mode,participant,held_out_participant,target,modality,regressor,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,rmse,mae,r2,explained_variance
individual,P45,P45,valence,eeg,knn,10,10,5,P45,120,96,24,1.7115512593839024,1.4583333333333333,-0.27058647814398107,-0.19390993726974015
individual,P10,P10,valence,eeg,knn,20,20,1,P10,120,96,24,1.7692354293977426,1.5307300804642126,-0.01748969902396147,0.02506691112410686
individual,P10,P10,valence,eeg,knn,20,20,2,P10,120,96,24,2.0542601308886868,1.7757241181884436,-0.1337272289023652,-0.09145815097283516
individual,P10,P10,valence,eeg,knn,20,20,3,P10,120,96,24,1.7965570071360961,1.6401515151515154,0.07599033895798768,0.09229334735389327
individual,P10,P10,valence,eeg,knn,20,20,4,P10,120,96,24,1.8819316317727024,1.6477272727272727,-0.0004904364884745771,0.007003919438713702
individual,P10,P10,valence,eeg,knn,20,20,5,P10,120,96,24,2.3539281980197497,2.0643939393939394,-0.5862839491973775,-0.4717274863217389
individual,P11,P11,valence,eeg,knn,20,20,1,P11,120,96,24,2.219761608325575,1.950757575757576,-0.028687481091184575,-0.016031679941528543
individual,P11,P11,valence,eeg,knn,20,20,2,P11,120,96,24,2.342489904603229,2.140151515151515,-0.2958840332204977,-0.05792917433306566
individual,P11,P11,valence,eeg,knn,20,20,3,P11,120,96,24,2.1961335922072083,1.7727272727272725,-0.1995032758103883,-0.15632538289156295
individual,P11,P11,valence,eeg,knn,20,20,4,P11,120,96,24,2.3941791211001413,2.128787878787879,-0.11543444270716985,-0.11515523788251047
individual,P11,P11,valence,eeg,knn,20,20,5,P11,120,96,24,2.174862650424014,1.871212121212121,-0.09154481881754606,-0.08815426997245202
individual,P19,P19,valence,eeg,knn,20,20,1,P19,120,96,24,2.1684803247370468,1.7585405507250662,-0.15947293887521075,-0.14453620337359152
individual,P19,P19,valence,eeg,knn,20,20,2,P19,120,96,24,1.5992207124260058,1.284090909090909,-0.059039516133823744,0.0658780471864584
individual,P19,P19,valence,eeg,knn,20,20,3,P19,120,96,24,1.4319801388293159,1.156202130009147,-0.02528355900081336,-0.02528342661786076
individual,P19,P19,valence,eeg,knn,20,20,4,P19,120,96,24,1.7551576887552565,1.4393939393939394,-0.1462617720545838,-0.08851730839045846
individual,P19,P19,valence,eeg,knn,20,20,5,P19,120,96,24,1.2800520427268303,1.0481228034593064,-0.03599905783022983,0.14278123597432968
individual,P22,P22,valence,eeg,knn,20,20,1,P22,120,96,24,2.0398914247560795,1.75,-0.22038006429785728,-0.05206106613253425
individual,P22,P22,valence,eeg,knn,20,20,2,P22,120,96,24,2.3925594622380095,1.858719589886863,-0.4960164652806305,-0.4656799837626382
individual,P22,P22,valence,eeg,knn,20,20,3,P22,120,96,24,2.414017261504767,2.1477272727272725,-0.13399597945052477,-0.06691702032611135
individual,P22,P22,valence,eeg,knn,20,20,4,P22,120,96,24,2.254624876411447,2.03030303030303,-0.03426351112681014,-0.031974800832576644
individual,P22,P22,valence,eeg,knn,20,20,5,P22,120,96,24,2.6432420793132874,2.133649725446135,-0.2836860367958536,-0.030056164956189013
